Front,Back,Tags
"What's the role of 'idempotency keys' in HTTP APIs?","Client-generated unique key per logical operation (typically UUID). Server stores (key, result) for some retention. Duplicates return cached result. Critical for payment APIs and any retry-prone client (mobile, integrations).","m05 pattern"
"How is rate limiting different from load shedding?","Rate limiting: pre-set caps per user/IP/key, regardless of system health. Protects against abuse + fairness. Load shedding: triggered by system saturation, drops low-priority requests dynamically. Protects against overload. Most systems need both.","m06 tradeoff"
"What's a 'hot standby' vs 'cold standby'?","Hot standby: replica running, in sync, ready to take over immediately. Higher cost, faster failover. Cold standby: backup data, no running infrastructure; restore takes longer. Lower cost, slower recovery. Choice depends on RTO (Recovery Time Objective).","m06 tradeoff"
"What's the difference between RTO and RPO?","RTO (Recovery Time Objective): how long can the system be down? Affects: hot vs cold standby. RPO (Recovery Point Objective): how much data can you lose? Affects: backup frequency, sync vs async replication. Both shape your recovery architecture.","m06 concept"
"What's the role of canary deployments?","Roll out new code to a small fraction (1-5%) of traffic, monitor metrics, expand if healthy. Limits blast radius of bad deploys. Requires: ability to split traffic, automatic rollback, comparable metrics on old vs new.","m06 pattern"
"What's a service mesh and when do you need one?","Sidecar (Envoy) per service handling: mTLS, retry/timeout/circuit-break, observability (traces, metrics), traffic shifting (canaries). Tools: Istio, Linkerd. Worth it when: 20+ services, polyglot, mTLS required. Not worth it for <10 services.","m04 pattern"
"What does CSP (Communicating Sequential Processes) give you in Go?","Channels + goroutines = built-in support for CSP-style concurrent programming. No shared mutable state required. Used heavily in Go's concurrency primitives. Different from actor model (Erlang) but solves similar problems.","m04 concept"
"What's the role of an event broker (Kafka, RabbitMQ, etc.) in event-driven architecture?","Decouples producers from consumers in time (consumer can be down when event published), identity (producer doesn't know consumers), and rate (consumer can be slower than producer). Provides durability and replay. Kafka adds: ordering per partition, retention.","m05 concept"
"What's the difference between Pub/Sub and a queue?","Queue: each message processed by one consumer (load balancing). Pub/Sub: each message broadcast to all subscribers (fan-out). Kafka: hybrid — consumer groups give queue-like behavior, multiple groups give Pub/Sub. RabbitMQ supports both depending on exchange type.","m05 concept"
"What's the 'thundering herd' on cache miss?","When a popular cache key expires, many clients simultaneously query the database to refresh. Aggregate load spikes. Mitigated by: locking/single-flight (only one fetches, others wait), randomized TTLs (avoid synchronized expiry), pre-warming.","m06 failure-mode"
"What does 'p99' actually measure?","99th percentile latency: 99% of requests are faster than this value. Tail latency. Important because: averages hide tail; tail is what users complain about; tail predicts capacity issues. Architects optimize p99, not average.","m01 concept"
"Why doesn't 'average latency' matter for user experience?","Users experience individual requests, not averages. A system with avg 50ms but p99 of 3s feels bad — the slow tail is what gets noticed and tweeted about. Always think in percentiles (p50, p95, p99) not averages.","m01 concept"
"What's the rule of thumb for capacity headroom?","Plan for 2-3× current peak as everyday capacity. Plan for 10× peak as the trigger for re-architecture. Plan for 100× peak as research, not engineering. These numbers vary by domain but the discipline of explicit thresholds is universal.","m01 pattern"
"What's the role of Service Level Indicators (SLIs) in error budgets?","SLIs are the metrics; SLOs are the targets. Error budget = (1 - SLO) over time window. Burn rate determines if you can ship risky changes. Error budget exhaustion → freeze risky work and fix reliability instead. Used at Google SRE.","m01 pattern"
"What does 'idempotent' really mean (precise definition)?","An operation is idempotent if applying it multiple times has the same effect as applying it once. SET status='paid' is idempotent. INCREMENT counter is NOT. Required property of any consumer that may receive duplicate events.","m05 concept"
"What is 'compensating action' in saga terminology?","An action that semantically undoes a previously committed action. E.g., the compensation for 'charge card' is 'refund card'. NOT the same as a database rollback (the original action already committed). The compensation creates a new committed action that offsets the first.","m05 concept"
"What is the SAGA acronym actually about?","Not actually an acronym — named after the 1987 academic paper 'Sagas' by Garcia-Molina & Salem, originally for long-running database transactions. Adopted into distributed systems vocabulary in 2010s. Refers to a sequence of local transactions with compensations.","m05 reference"
"What's the difference between vertical and horizontal scaling?","Vertical (scale up): bigger machines (more CPU, RAM). Simpler, has a ceiling. Horizontal (scale out): more machines. No ceiling, but requires distribution patterns (partitioning, replication). Architects usually scale vertically first, horizontally when ceiling is near.","m03 concept"
"What's the role of CDNs in modern architecture?","Cache static content (images, JS, CSS) at edge locations close to users. Reduce latency, offload origin servers, absorb DDoS. Modern CDNs (Cloudflare, Fastly) also do: edge compute, JWT validation, rate limiting at edge.","m07 concept"
"What's BFF (Backend for Frontend)?","A small backend per frontend (mobile, web, voice) that aggregates calls to downstream services, tailored to that frontend's needs (payload shape, batch patterns, security). Used by Netflix, SoundCloud, large consumer products.","m04 pattern"
"How is API Gateway different from BFF?","API Gateway: single entry point, infrastructure concern — auth, rate limiting, routing. Often runtime-shared. BFF: per-frontend, application concern — aggregation, shape transformation, frontend-specific logic. Often per-team owned.","m04 tradeoff"
"What's the data-residency challenge in multi-region designs?","Some data (PII, regulated) must remain in specific regions for compliance (GDPR, country-specific laws). Affects: where you put primaries, how cross-region replicas are scoped, what's allowed in caches. Often forces region-partitioned architecture even when not needed for performance.","m07 concept"
"What's the trade-off between cache TTL and consistency?","Longer TTL: better cache hit rate, less load, more stale data. Shorter TTL: fresher data, more cache misses, more load on origin. Pick based on: rate of data change, tolerance for staleness, cost of cache miss.","m03 tradeoff"
"What's a 'materialized view' in CQRS context?","A precomputed query result, stored as if it were a table. Optimized for read. Sync'd from source via events. Different shape than write model (denormalized for query). Often the read side of CQRS.","m05 concept"
"What are 'natural' vs 'synthetic' identifiers?","Natural: derived from real-world property (email, ISBN, SSN). Synthetic: arbitrary (UUID, auto-increment ID). Architects prefer synthetic for primary keys: more stable, no PII in IDs, no semantic collisions. Use natural for unique constraints/lookups.","m03 concept"
"What's the 'noisy neighbor' problem in multi-tenant systems?","One tenant consumes disproportionate resources (CPU, IO, network), degrading others. Mitigations: rate limits per tenant, resource quotas, dedicated tiers, soft/hard limits. Universal in SaaS and multi-tenant infrastructure.","failure-mode"
"What's the role of 'feature flags' in architecture?","Decouple deploy from release. Code can be deployed but feature gated; controlled rollout (X% of users); kill switches for runaway features. Flag lifecycle is architecture: flags must be cleaned up, audited, typed. Knight Capital incident was flag mismanagement.","m08 concept"
"What's the right approach to feature flag lifecycle?","Add flag, gradually roll out, fully enable, then REMOVE the flag and the obsolete code path. Most teams skip the removal step — leading to Knight-Capital-style risks. Maintain a flag inventory; audit regularly.","m08 pattern"
"What does it mean for an architect to 'set defaults'?","Establish patterns the team applies without re-deciding each time. E.g., 'Outbox for all cross-service events', 'context.WithTimeout on every external call'. Reduces decision fatigue, multiplies the architect's influence. Defaults are policy.","m08 concept"
"What's the difference between 'best practice' and 'context-appropriate'?","Best practice: works in some idealized context. Context-appropriate: works for THIS team, THIS scale, THIS business stage. The architect's job: translate from best practices to context-appropriate. 'They do it at Netflix' is not justification.","m08 concept"
"Why do many microservices migrations fail?","Common failures: 1) Splitting before fixing modular boundaries. 2) Not enough DevOps capacity. 3) Team not actually autonomous (still needs coordination). 4) Distributed monolith (shared DB or sync chains). 5) Underestimating timeline (months vs years). All architectural, not technical.","m04 failure-mode"
"What's the 'cone of influence' for a tech lead vs architect?","Tech lead: deeply influences their team's decisions. Architect: shapes decisions across multiple teams + sets organizational patterns. Tech lead's influence is depth; architect's is breadth. Different roles, different leverage.","m08 concept"
"What's 'speaking the language of the audience' in stakeholder communication?","Engineers care about HOW. Tech leads care about IMPACT and RISK. Execs care about BUSINESS OUTCOMES and TRADE-OFFS. Same idea, three framings: 'replication lag is 800ms' / 'reads can be stale by ~1s' / 'customer transactions are accurate within ~1s'.","m08 pattern"
"What's the 'pre-wire' technique?","Before any group meeting making a big decision, have 1:1 conversations with key stakeholders. Find resistance early. Adjust proposal before public review. By the time the group meets, the decision is mostly aligned. Surprise in meeting = pre-wiring failed.","m08 pattern"
"What's 'async-first' meeting discipline?","Send the doc 48+ hours before the meeting. Reviewers add comments async. Meeting is for resolving disagreement, not walkthrough. If reviewers haven't read it, POSTPONE. Saves time, deeper engagement, better decisions.","m08 pattern"
"What's the difference between 'rolling deployment' and 'blue-green deployment'?","Rolling: replace instances one (or a few) at a time. New + old coexist during deploy. Blue-Green: run two complete environments (Blue=current, Green=new); switch traffic when ready. Rolling is simpler; Blue-Green has faster rollback at cost of doubled infra during transition.","m06 tradeoff"
"What's an 'immutable infrastructure' approach?","Don't modify servers in place; instead, replace them with new versions (e.g., container image, AMI). Eliminates configuration drift, makes rollback predictable. Standard in modern cloud-native architectures. Trade-off: longer deploy times but more reliable.","m06 concept"
"What's the role of a 'control plane' vs 'data plane'?","Data plane: handles actual user traffic, hot path. Control plane: manages configuration, deployment, scaling, monitoring. Separation: control plane outages shouldn't affect data plane (so users keep being served). Critical for high availability.","m04 concept"
"How does sharding by tenant compare to sharding by entity?","Sharding by tenant: all of one customer's data on one shard. Pros: query simplicity, blast radius per tenant. Cons: unbalanced shards (big tenant hot). Sharding by entity (e.g., user_id): better balance, harder cross-tenant aggregations. Most SaaS uses tenant-sharding for compliance + simplicity.","m03 tradeoff"
"What's a 'request hedging budget'?","Cap on extra requests for hedging (e.g., max 5% of all requests). Without budget: hedging can double or triple load. With budget: amortize p99 improvement over modest extra cost. Used by Google, Cassandra, others.","m06 pattern"
"What's the formula for 'rate of decay' in architecture decisions?","No formula, but useful heuristic: tech stack decisions have ~3-5 year half-life. Scale decisions: depends on growth, often 2-3 years. Patterns: 5-10 years. Process decisions: 1-2 years. The faster the moving part, the more often to revisit.","m08 concept"
"What's 'shifting left' in reliability?","Move reliability concerns earlier in the lifecycle: design (chaos by design) → development (failure tests in CI) → deployment (canaries) → operations (chaos engineering). Reduces cost of finding issues (cheapest at design, most expensive in prod).","m06 concept"
"What does 'graceful degradation' look like in practice?","Recommendation service down → show popular items instead. Real-time price feed broken → use cached price with 'price as of X' notice. Photo service slow → show default avatar. Architect's job: enumerate every dependency and pre-design the degraded version. Don't let it happen at 3am.","m06 pattern"
"What's the architectural impact of 'multi-cloud'?","Run on multiple cloud providers for vendor risk reduction. Costs: 10-30% more infra, much harder ops, can't use cloud-specific managed services (which are usually the best parts). Most teams who say 'multi-cloud' actually mean 'we want to be able to move someday'. Usually overkill.","tradeoff"
"What's the right reaction to 'we need to be cloud-agnostic'?","Push back. Ask: do you actually plan to move? When? What's the cost of being able to move? Most cloud-agnostic strategies cost 30%+ in ongoing complexity while preserving an option rarely exercised. Often better to pick a cloud, use managed services, accept lock-in.","tradeoff"
"What does it mean to 'maintain decisions reversibility'?","Build software in ways that don't lock in choices irreversibly. E.g., hexagonal architecture (swap DB without changing domain), feature flags (turn off features without redeploy), strangler fig (incremental migration). Optionality has a cost — design for the reversibility you actually need.","m01 concept"
"What's the typical career progression for an architect?","Senior engineer (5-8yrs) → Staff/Tech Lead → Principal/Architect → Distinguished/Senior Principal → Fellow (very rare). Parallel: Solution Architect → Enterprise Architect (more org-facing). Each step requires building less, shaping more.","m08 concept"
"How is a 'staff engineer' different from a 'tech lead'?","Tech Lead: leads a team's technical decisions. Staff Engineer: leads a domain (multiple teams) or a difficult system. Staff often has cross-team influence without managing anyone. Will Larson's book is the canonical reference.","m08 concept"
"What's the 'glue work' tax for senior engineers?","Senior+ engineers do work that holds teams together: mentoring, code review, design reviews, planning. Often invisible in performance reviews. Architects do MORE of this. Worth tracking and surfacing — important for promotion.","m08 concept"
"What's the difference between 'influence' and 'authority'?","Authority: positional power to require action. Influence: persuasive power to inspire action. Architects rarely have authority over engineers from other teams. They lead through influence: expertise, track record, clarity. Title alone doesn't grant influence.","m08 concept"
"What's the role of 'tech debt' in architecture decisions?","Tech debt isn't always bad — sometimes a deliberate trade for speed. Architects: 1) Distinguish deliberate from accidental debt. 2) Track it. 3) Pay it down before it compounds. 4) Surface its business cost to stakeholders. Untracked debt is the silent killer.","m08 concept"
"How do you measure 'maintainability' as a quality attribute?","Proxies: time to onboard a new engineer to the codebase, lead time for changes (commit to prod), bug fix turnaround, test coverage, cyclomatic complexity, dependency count. Hard to measure directly; easier to measure adjacent. Worth tracking trends.","m01 concept"
"What's an 'architecture fitness function' (Ford et al.)?","An automated test that verifies an architectural property remains true (e.g., 'no service has direct DB access to another service's tables'). Encodes architecture in code. Often implemented as: import linters, dependency analysis, CI gates. From the 'Building Evolutionary Architectures' book.","m04 pattern"
"What's the 'C4 model' in one sentence?","Visualize software architecture at four levels of abstraction: Context (system + actors), Container (deployable units), Component (modules in a container), Code (classes/functions). One level per diagram. Created by Simon Brown.","m08 concept"
"What's the right number of levels for system documentation?","Hierarchical: high-level overview (1-2 pages) for execs, mid-level (5-10 pages, C4 Container) for tech leads, deep-level (component docs, ADRs) for engineers. Audience-appropriate detail. The same doc can't serve all audiences.","m08 pattern"
"What's the trade-off in 'one repo vs many repos' (monorepo vs polyrepo)?","Monorepo: easy cross-cutting changes, atomic commits, shared tooling, single CI. Hard: scale (huge), build perf, ownership clarity. Polyrepo: clean ownership, smaller builds. Hard: cross-cutting changes, dependency management. Both work at scale; pick by team size and change patterns.","m04 tradeoff"
